year,collection_canonical,n_total,n_price_eur,avg_price_eur,median_price_eur,share_in_year
2022,Other,4194,254,54181.97,26600.0,0.639524
2022,Ballon Bleu,854,176,22745.17,14600.0,0.130223
2022,Tank,619,141,23536.6,18800.0,0.094389
2022,Panthère,498,167,100216.77,63000.0,0.075938
2022,Santos,393,87,20430.46,16100.0,0.059927
2026,Tank,56,56,15733.93,12950.0,0.265403
2026,Santos,53,53,20649.06,14600.0,0.251185
2026,Panthère,52,52,62937.5,36350.0,0.246445
2026,Other,29,27,44125.93,33600.0,0.137441
2026,Ballon Bleu,21,21,11811.9,10700.0,0.099526
